from,to,weight
1111,1112,7
1111,1113,2
1111,1114,7
1111,1121,1
1111,1214,1
1111,1216,2
1111,1221,1
1111,1223,1
1111,1311,1
1111,1312,1
1111,1321,1
1111,1411,1
1111,1511,1
1111,1612,1
1111,1613,1
1111,1614,1
1111,1617,2
1111,2111,1
1111,2112,1
1111,2114,1
1111,2131,1
1111,2132,1
1111,2133,1
1111,2143,1
1111,2145,1
1111,2149,1
1111,2151,1
1111,2152,1
1111,2153,1
1111,2165,1
1111,2173,1
1111,2181,1
1111,2251,1
1111,2262,1
1111,2269,1
1111,2311,2
1111,2371,1
1111,2391,1
1111,2392,1
1111,2399,2
1111,2412,1
1111,2421,1
1111,2422,2
1111,2423,1
1111,2424,1
1111,2425,1
1111,2426,1
1111,2434,2
1111,2512,1
1111,2519,1
1111,2521,1
1111,2523,1
1111,2524,1
1111,2531,1
1111,2542,1
1111,2611,6
1111,2612,1
1111,2619,2
1111,2711,1
1111,2712,1
1111,2821,1
1111,2822,1
1111,2823,1
1111,2825,1
1111,2826,1
1111,2831,1
1111,2849,1
1111,2911,1
1111,2912,1
1111,2914,1
1111,3122,1
1111,3123,1
1111,3129,1
1111,3132,1
1111,3133,1
1111,3134,1
1111,3135,1
1111,3141,1
1111,3142,1
1111,3143,1
1111,3144,1
1111,3231,1
1111,3311,1
1111,3313,1
1111,3314,1
1111,3315,1
1111,3332,1
1111,3333,1
1111,3341,1
1111,3343,1
1111,3622,1
1111,3633,1
1111,3634,1
1111,3641,1
1111,3711,1
1111,3712,1
1111,3713,1
1111,3714,1
1111,4222,1
1111,4226,1
1111,4312,1
1111,4323,1
1111,4419,1
1111,5222,1
1111,5413,1
1111,5414,1
1111,5415,1
1112,1113,2
1112,1114,7
1112,1121,1
1112,1211,1
1112,1214,1
1112,1216,2
1112,1221,1
1112,1223,1
1112,1311,1
1112,1312,1
1112,1321,1
1112,1411,1
1112,1511,1
1112,1612,1
1112,1613,1
1112,1614,1
1112,1617,2
1112,2111,1
1112,2112,1
1112,2114,1
1112,2131,1
1112,2132,1
1112,2133,1
1112,2143,1
1112,2145,1
1112,2149,1
1112,2151,1
1112,2152,1
1112,2153,1
1112,2165,1
1112,2173,1
1112,2181,1
1112,2251,1
1112,2262,1
1112,2269,1
1112,2311,2
1112,2371,1
1112,2391,1
1112,2392,1
1112,2399,2
1112,2411,1
1112,2412,1
1112,2421,1
1112,2422,2
1112,2423,1
1112,2424,1
1112,2425,1
1112,2426,1
1112,2434,2
1112,2512,1
1112,2519,1
1112,2521,1
1112,2523,1
1112,2524,1
1112,2531,1
1112,2542,1
1112,2611,6
1112,2612,1
1112,2619,2
1112,2711,1
1112,2712,1
1112,2821,1
1112,2822,1
1112,2823,1
1112,2825,1
1112,2826,1
1112,2831,1
1112,2849,1
1112,2911,1
1112,2912,1
1112,2914,1
1112,3122,1
1112,3123,1
1112,3129,1
1112,3132,1
1112,3133,1
1112,3134,1
1112,3135,1
1112,3141,1
1112,3142,1
1112,3143,1
1112,3144,1
1112,3231,1
1112,3311,1
1112,3313,1
1112,3314,1
1112,3315,1
1112,3332,1
1112,3333,1
1112,3341,1
1112,3343,1
1112,3622,1
1112,3633,1
1112,3634,1
1112,3641,1
1112,3711,1
1112,3712,1
1112,3713,1
1112,3714,1
1112,4211,1
1112,4222,1
1112,4226,1
1112,4311,1
1112,4312,1
1112,4323,1
1112,4419,1
1112,5222,1
1112,5413,1
1112,5414,1
1112,5415,1
1113,1114,2
1113,1121,1
1113,1214,1
1113,1216,1
1113,1311,1
1113,1312,1
1113,1321,1
1113,1411,1
1113,1612,1
1113,1613,1
1113,1614,1
1113,2311,1
1113,2371,1
1113,2391,1
1113,2392,1
1113,2399,1
1113,2421,1
1113,2422,1
1113,2423,1
1113,2425,1
1113,2434,1
1113,2611,2
1113,2619,1
1113,2711,1
1113,2712,1
1113,2825,1
1113,2826,1
1113,2911,1
1113,2914,1
1113,3122,1
1113,3123,1
1113,3129,1
1113,3332,1
1113,3333,1
1113,3341,1
1113,3343,1
1113,3622,1
1113,3633,1
1113,3634,1
