from,to,weight
1112,1111,7
1112,2173,1
1112,2612,1
1113,1111,2
1113,1121,1
1113,2392,1
1113,2611,2
1113,2826,1
1211,1112,1
1211,1511,1
1214,1111,1
1214,1112,1
1214,1511,2
1214,1617,1
1214,2131,1
1214,2311,1
1214,2391,1
1214,2611,1
1215,1121,1
1215,1222,1
1215,1622,1
1215,2134,1
1215,2182,1
1221,1111,1
1221,1112,1
1221,1211,1
1221,1222,1
1221,1223,1
1221,1622,2
1221,2111,1
1221,2114,1
1221,2131,1
1221,2133,1
1221,2151,1
1221,2152,1
1221,2173,1
1221,2251,1
1221,2311,1
1221,2611,1
1221,2822,1
1221,2849,1
1222,1511,1
1223,1111,1
1223,1112,1
1223,1121,1
1223,2173,1
1223,2251,1
1223,2611,1
1311,1111,1
1311,1112,1
1311,1121,1
1311,1223,2
1311,1321,3
1311,1411,1
1311,1612,1
1311,2182,2
1311,2611,1
1311,2911,1
1312,1111,1
1312,1112,1
1312,1121,1
1312,2611,1
1321,1111,1
1321,1112,1
1321,2134,1
1321,2152,1
1321,2611,1
1322,1211,1
1322,1223,1
1322,1321,1
1322,1511,1
1322,2152,1
1323,1321,1
1323,1511,1
1323,1617,1
1323,2131,1
1323,2152,1
1324,1214,2
1324,1223,2
1324,1311,3
1324,1321,2
1324,2182,3
1324,2262,1
1324,2263,2
1411,1111,1
1411,1112,1
1411,1121,1
1411,1511,1
1411,1617,1
1411,2131,1
1411,2162,1
1411,2611,2
1412,7514,1
1421,1211,1
1421,1222,2
1421,1323,1
1421,1622,1
1421,2161,1
1421,2162,1
1421,2183,1
1421,2849,1
1511,1111,1
1612,1111,1
1612,1112,1
1612,1321,2
1612,2211,3
1612,2212,3
1612,2241,3
1612,2261,1
1612,2264,1
1612,2267,1
1612,2611,1
1612,2824,1
1612,2825,1
1614,1111,1
1617,1111,2
1617,1511,1
1617,2131,1
1617,2612,1
1621,1211,1
1621,1222,1
1621,1323,1
1621,1622,5
1621,3123,1
1621,5151,1
1623,1223,1
1623,1511,1
2111,1111,1
2111,2173,1
2112,1111,1
2112,1112,1
2112,1221,1
2112,1223,1
2112,2111,7
2112,2113,6
2112,2114,4
2112,2121,1
2112,2131,3
2112,2132,3
2112,2133,4
2112,2134,2
2112,2143,2
2112,2145,1
2112,2151,1
2112,2152,1
2112,2153,1
2112,2173,1
2112,2182,1
2112,2251,1
2112,2262,1
2112,2269,1
2112,2311,1
2112,2399,1
2112,2412,1
2112,2422,1
2112,2426,1
2112,2434,1
2112,2521,1
2112,2523,1
2112,2611,1
2112,2619,1
2112,2821,1
2112,2822,3
2112,2831,1
2112,2849,1
2112,2912,1
2112,3116,3
2112,3713,1
2113,2111,6
2113,2114,3
2113,2131,2
2113,2133,3
2113,2134,2
2113,2182,1
2114,1111,1
2114,2173,1
2121,1511,2
2121,1615,1
2121,2111,1
2121,2114,1
2121,2131,1
2121,2391,1
2121,2422,1
2131,1111,1
2131,2114,3
2131,2173,1
2132,1111,1
2132,1112,1
2132,1214,1
2132,1221,1
2132,1223,1
2132,1323,1
2132,1411,1
2132,1511,1
2132,1617,1
2132,2111,3
2132,2113,2
2132,2114,3
2132,2131,5
2132,2133,4
2132,2134,2
2132,2143,1
2132,2145,1
2132,2151,1
2132,2152,1
2132,2161,1
2132,2162,1
2132,2173,1
2132,2251,1
2132,2262,2
2132,2263,1
2132,2311,2
2132,2331,1
2132,2341,1
2132,2361,1
2132,2391,1
2132,2426,1
2132,2611,1
2132,2619,2
2132,2711,1
2132,2822,3
2132,2832,1
2132,2849,1
2132,2915,1
2132,2916,1
2133,1111,1
2133,1112,1
2133,1511,1
2133,1617,1
2133,1622,1
2133,2111,4
2133,2114,4
2133,2131,4
2133,2152,1
2133,2162,1
2133,2173,1
2133,2611,1
2133,2824,1
2133,2849,1
2141,1321,1
2141,1322,1
2141,1323,1
2141,2142,2
2141,2144,4
2141,2151,2
2141,2152,2
2141,2161,1
2141,2162,1
2142,1321,1
2142,1322,1
2142,1511,1
2142,1617,1
2142,2131,1
2142,2152,2
2143,1111,1
2143,1112,1
2143,1622,1
2143,2111,2
2143,2114,1
2143,2131,1
2143,2133,2
2143,2152,2
2143,2162,1
2143,2173,1
2143,2263,1
2143,2311,1
2143,2611,1
2143,2619,1
2143,2822,1
2143,2849,1
2144,1321,1
2144,1323,1
2144,2151,3
2144,2152,2
2144,2162,1
2145,1111,1
2145,2111,1
2145,2114,1
2145,2131,1
2145,2173,1
2145,2311,1
2146,2131,1
2146,2391,1
2149,1111,1
2149,1112,1
2149,1121,1
2149,1223,3
2149,1321,2
2149,2111,4
2149,2114,3
2149,2134,2
2149,2152,3
2149,2173,1
2149,2251,1
2149,2611,1
2151,1111,1
2151,1112,1
2151,1223,1
2151,1321,1
2151,1323,1
2151,2111,1
2151,2114,1
2151,2131,1
2151,2133,1
2151,2152,4
2151,2162,1
2151,2164,1
2151,2173,2
2151,2251,1
2151,2311,1
2151,2611,1
2151,2849,1
2152,1111,1
2152,1112,1
2152,2173,1
2152,2611,1
2153,1111,1
2153,1112,1
2153,1221,1
2153,1223,1
2153,2111,1
2153,2114,1
2153,2131,1
2153,2133,1
2153,2151,1
2153,2152,1
2153,2173,1
2153,2251,1
2153,2269,1
2153,2311,1
2153,2611,1
2153,2822,1
2153,2849,1
2161,1321,1
2161,1322,2
2161,1323,7
2161,1511,1
2161,1617,1
2161,2131,1
2161,2152,1
2161,2162,7
2162,1511,1
2162,1617,1
2162,2131,1
2162,2152,1
2163,1221,1
2163,1421,1
2165,1111,1
2165,1112,1
2165,1223,1
2165,1511,1
2165,2111,1
2165,2114,1
2165,2131,2
2165,2152,1
2165,2171,1
2165,2172,1
2165,2173,1
2165,2251,1
2165,2269,1
2165,2611,1
2166,1511,1
2166,2321,2
2166,2844,1
2171,2172,1
2173,1111,1
2175,2172,1
2182,2111,1
2182,2134,1
2183,2162,2
2183,2824,1
2211,2212,5
2221,2212,3
2221,2261,1
2221,3221,2
2221,5412,1
2231,2211,2
2231,2212,2
2231,2221,3
2231,2261,1
2231,2264,1
2231,2267,1
2231,2824,1
2231,3221,1
2231,3256,1
2241,2211,2
2241,2212,3
2241,2341,1
2251,1111,1
2251,2173,1
2251,2611,1
2262,1111,1
2262,1112,1
2262,1511,1
2262,2111,1
2262,2114,1
2262,2131,3
2262,2133,1
2262,2152,1
2262,2173,1
2262,2211,1
2262,2212,1
2262,2251,1
2262,2261,1
2262,2263,1
2262,2267,1
2262,2311,2
2262,2331,1
2262,2341,1
2262,2611,1
2262,2619,2
2262,2822,1
2262,2824,1
2262,2849,1
2262,2915,1
2262,2916,1
2263,1511,1
2263,1617,1
2263,1622,1
2263,2131,1
2263,2311,1
2263,2331,1
2263,2915,1
2264,2211,1
2264,2212,1
2264,2261,1
2265,2131,1
2265,2134,1
2265,2263,1
2265,2311,1
2265,2331,1
2265,2341,1
2265,2361,1
2265,2619,1
2265,2915,1
2266,2264,1
2266,2392,1
2266,3255,1
2267,2212,1
2269,1111,1
2269,1112,1
2269,1223,1
2269,2111,1
2269,2114,1
2269,2152,1
2269,2173,1
2269,2211,1
2269,2212,2
2269,2251,1
2269,2261,1
2269,2264,1
2269,2267,1
2269,2611,1
2269,2824,1
2269,2825,1
2311,1111,2
2311,2114,1
2311,2131,2
2311,2173,1
2321,2844,1
2331,2915,1
2341,2915,1
2342,2392,2
2353,2341,1
2353,2392,1
2353,2915,1
2353,3634,1
2361,2131,1
2361,2311,1
2361,2915,1
2371,1111,1
2371,1112,1
2371,1113,1
2371,2342,1
2371,2392,3
2371,2611,1
2371,2826,2
2371,2915,1
2371,5413,1
2381,2143,1
2381,2145,2
2381,2146,2
2381,2152,2
2381,2162,1
2391,1111,1
2391,1614,1
2391,1615,1
2391,2131,1
2392,1111,1
2399,1111,2
2399,1112,2
2399,1223,1
2399,1321,1
2399,1612,1
2399,2111,1
2399,2114,1
2399,2131,2
2399,2152,1
2399,2173,1
2399,2251,1
2399,2269,1
2399,2331,2
2399,2341,1
2399,2611,2
2399,2825,1
2399,2915,1
2411,1112,1
2411,1211,2
2411,1212,1
2411,1214,2
2411,1223,2
2411,1311,3
2411,1312,1
2411,1321,3
2411,1323,1
2411,1324,2
2411,1421,1
2411,1611,1
2411,1612,1
2411,1614,1
2411,2161,1
2411,2162,1
2411,2182,2
2411,2183,1
2411,2263,2
2411,2412,1
2411,2413,1
2411,2423,2
2411,2424,1
2411,2425,3
2411,2912,2
2411,3712,2
2411,3713,2
2412,1111,1
2412,1112,1
2412,1121,1
2412,1211,1
2412,1215,1
2412,1223,2
2412,1611,1
2412,1614,1
2412,1622,1
2412,2111,1
2412,2114,1
2412,2131,1
2412,2133,1
2412,2143,1
2412,2145,1
2412,2152,1
2412,2173,1
2412,2251,1
2412,2262,1
2412,2311,1
2412,2421,1
2412,2422,1
2412,2426,1
2412,2434,1
2412,2611,1
2412,2619,1
2412,2822,1
2412,2849,1
2413,1511,1
2413,1622,1
2413,2131,1
2421,1111,1
2421,1112,1
2421,1121,2
2421,1212,1
2421,1214,1
2421,1215,1
2421,1222,1
2421,1411,1
2421,1511,1
2421,2131,1
2421,2311,1
2421,2422,1
2421,2426,1
2421,2434,1
2421,2611,1
2421,2619,1
2422,1111,2
2422,2114,1
2422,2131,2
2422,2173,1
2422,2311,3
2423,1111,1
2423,1112,1
2423,1121,1
2423,1212,1
2423,1214,3
2423,1215,1
2423,1222,1
2423,1223,2
2423,1311,3
2423,1321,2
2423,1324,2
2423,1411,1
2423,2182,2
2423,2263,2
2423,2311,1
2423,2421,2
2423,2422,1
2423,2425,1
2423,2431,1
2423,2434,1
2423,2611,1
2423,2619,1
2423,2711,1
2423,2911,1
2424,1111,1
2424,1112,1
2424,1221,1
2424,1223,1
2424,1311,1
2424,1312,1
2424,1321,1
2424,1612,1
2424,2111,1
2424,2114,1
2424,2131,2
2424,2132,2
2424,2133,1
2424,2143,1
2424,2145,1
2424,2151,1
2424,2152,1
2424,2153,1
2424,2165,1
2424,2173,1
2424,2251,1
2424,2262,2
2424,2263,1
2424,2265,1
2424,2269,1
2424,2311,2
2424,2331,1
2424,2341,1
2424,2361,1
2424,2399,2
2424,2422,2
2424,2425,2
2424,2426,1
2424,2434,1
2424,2519,1
2424,2521,1
2424,2523,1
2424,2611,1
2424,2619,2
2424,2711,1
2424,2811,1
2424,2822,1
2424,2832,1
2424,2849,1
2424,2913,1
2424,2915,1
2424,2916,1
2424,3712,1
2425,1111,1
2425,1112,1
2425,1121,1
2425,1212,1
2425,1214,1
2425,1321,1
2425,1323,1
