"","code","skills","skill_type"
"1",1111,"Complex Problem Solving","basic_skills"
"2",1111,"Critical Thinking","basic_skills"
"3",1111,"Decision Making","basic_skills"
"4",1111,"Management Of Financial Resources","basic_skills"
"5",1111,"Monitoring","basic_skills"
"6",1111,"Analysis","specific_skills"
"7",1111,"Contract Drafting","specific_skills"
"8",1111,"Legal Analysis","specific_skills"
"9",1111,"Administration Management","specific_skills"
"10",1111,"Data Governance","specific_skills"
"11",1111,"Legal Writing","specific_skills"
"12",1111,"Crisis Management","specific_skills"
"13",1112,"Complex Problem Solving","basic_skills"
"14",1112,"Critical Thinking","basic_skills"
"15",1112,"Decision Making","basic_skills"
"16",1112,"Management Of Financial Resources","basic_skills"
"17",1112,"Monitoring","basic_skills"
"18",1112,"Analysis","specific_skills"
"19",1112,"Contract Drafting","specific_skills"
"20",1112,"Legal Analysis","specific_skills"
"21",1112,"Administration Management","specific_skills"
"22",1112,"Data Governance","specific_skills"
"23",1112,"Legal Writing","specific_skills"
"24",1112,"Crisis Management","specific_skills"
"25",1112,"Negotiation","basic_skills"
"26",1112,"Active Listening","basic_skills"
"27",1112,"Reading Comprehension","basic_skills"
"28",1112,"Mathematics","basic_skills"
"29",1112,"Problem Solving","basic_skills"
"30",1112,"Account Management","specific_skills"
"31",1112,"Leadership","basic_skills"
"32",1112,"Communication","basic_skills"
"33",1112,"Management Of Personnel Resources","basic_skills"
"34",1112,"Community Service","basic_skills"
"35",1113,"Complex Problem Solving","basic_skills"
"36",1113,"Critical Thinking","basic_skills"
"37",1113,"Decision Making","basic_skills"
"38",1113,"Administration Management","specific_skills"
"39",1113,"Crisis Management","specific_skills"
"40",1113,"Problem Analysis","basic_skills"
"41",1113,"Active Listening","basic_skills"
"42",1114,"Complex Problem Solving","basic_skills"
"43",1114,"Critical Thinking","basic_skills"
"44",1114,"Decision Making","basic_skills"
"45",1114,"Management Of Financial Resources","basic_skills"
"46",1114,"Monitoring","basic_skills"
"47",1114,"Communication","basic_skills"
"48",1114,"Customer Services","basic_skills"
"49",1114,"Public Relations","basic_skills"
"50",1114,"Analysis","specific_skills"
"51",1114,"Contract Drafting","specific_skills"
"52",1114,"Legal Analysis","specific_skills"
"53",1114,"Administration Management","specific_skills"
"54",1114,"Data Governance","specific_skills"
"55",1114,"Legal Writing","specific_skills"
"56",1114,"Crisis Management","specific_skills"
"57",1121,"Decision Making","basic_skills"
"58",1121,"Complex Problem Solving","basic_skills"
"59",1121,"Critical Thinking","basic_skills"
"60",1121,"Speaking","basic_skills"
"61",1121,"Coordination","basic_skills"
"62",1121,"Administration Management","specific_skills"
"63",1121,"Analytical","specific_skills"
"64",1121,"Business Analysis","specific_skills"
"65",1121,"Cash Management","specific_skills"
"66",1121,"Risk Management","specific_skills"
"67",1121,"Hiring","specific_skills"
"68",1121,"Active Listening","basic_skills"
"69",1211,"Active Listening","basic_skills"
"70",1211,"Critical Thinking","basic_skills"
"71",1211,"Monitoring","basic_skills"
"72",1211,"Reading Comprehension","basic_skills"
"73",1211,"Speaking","basic_skills"
"74",1211,"Calculation","basic_skills"
"75",1211,"Financial Reporting","specific_skills"
"76",1211,"Forecasting","specific_skills"
"77",1211,"Account Management","specific_skills"
"78",1211,"Factor Analysis","specific_skills"
"79",1211,"Financial Auditing","specific_skills"
"80",1211,"Revenue Analysis","specific_skills"
"81",1211,"Risk Assessment","specific_skills"
"82",1212,"Active Listening","basic_skills"
"83",1212,"Management Of Personnel Resources","basic_skills"
"84",1212,"Speaking","basic_skills"
"85",1212,"Decision Making","basic_skills"
"86",1212,"Reading Comprehension","basic_skills"
"87",1212,"Payroll Administration","specific_skills"
"88",1212,"Organizational Analysis","specific_skills"
"89",1212,"Personnel Management","specific_skills"
"90",1212,"Performance Analysis","specific_skills"
"91",1212,"Hiring","specific_skills"
"92",1213,"Reading Comprehension","basic_skills"
"93",1213,"Speaking","basic_skills"
"94",1213,"Writing","basic_skills"
"95",1213,"Active Listening","basic_skills"
"96",1213,"Coordination","basic_skills"
"97",1213,"Business Analysis","specific_skills"
"98",1213,"Market Analysis","specific_skills"
"99",1213,"Conflict Management","specific_skills"
"100",1213,"Calculation","basic_skills"
"101",1213,"Business Continuity Management","specific_skills"
"102",1213,"Strategic Management","specific_skills"
"103",1214,"Critical Thinking","basic_skills"
"104",1214,"Reading Comprehension","basic_skills"
"105",1214,"Active Listening","basic_skills"
"106",1214,"Speaking","basic_skills"
"107",1214,"Coordination","basic_skills"
"108",1214,"Monitoring","basic_skills"
"109",1214,"Decision Making","basic_skills"
"110",1214,"Administration Management","specific_skills"
"111",1214,"Strategic Analysis","specific_skills"
"112",1214,"Production And Processing","specific_skills"
"113",1214,"Iso Standards Knowledge","specific_skills"
"114",1214,"Social Perceptivenesss","basic_skills"
"115",1214,"Food Hygiene And Safety Standard","specific_skills"
"116",1214,"Halal Compliance","specific_skills"
"117",1214,"Halal Integrity System","specific_skills"
"118",1214,"Working With Computers","specific_skills"
"119",1214,"Internet Literacy","specific_skills"
"120",1215,"Active Listening","basic_skills"
"121",1215,"Reading Comprehension","basic_skills"
"122",1215,"Time Management","basic_skills"
"123",1215,"Speaking","basic_skills"
"124",1215,"Coordination","basic_skills"
"125",1215,"Performance Management","specific_skills"
"126",1215,"Budget Management","specific_skills"
"127",1215,"Business Analysis","specific_skills"
"128",1215,"Document Management","specific_skills"
"129",1215,"Iso Standards Knowledge","specific_skills"
"130",1215,"Quality Management","specific_skills"
"131",1215,"Management Of Personnel Resources","basic_skills"
"132",1216,"Reading Comprehension","basic_skills"
"133",1216,"Decision Making","basic_skills"
"134",1216,"Active Listening","basic_skills"
"135",1216,"Monitoring","basic_skills"
"136",1216,"Quality Management","specific_skills"
"137",1216,"Analysis","specific_skills"
"138",1216,"Business Management","specific_skills"
"139",1216,"Administration Management","specific_skills"
"140",1216,"Quality Control Analysis","specific_skills"
"141",1221,"Active Learning","basic_skills"
"142",1221,"Active Listening","basic_skills"
"143",1221,"Critical Thinking","basic_skills"
"144",1221,"Reading Comprehension","basic_skills"
"145",1221,"Social Perceptivenesss","basic_skills"
"146",1221,"Analysis","specific_skills"
"147",1221,"Sales Management","specific_skills"
"148",1221,"Forecasting","specific_skills"
"149",1221,"Trend Analysis","specific_skills"
"150",1221,"Strategic Analysis","specific_skills"
"151",1221,"Campaign Performance Analysis","specific_skills"
"152",1221,"Persuasion","basic_skills"
"153",1221,"Speaking","basic_skills"
"154",1221,"Coordination","basic_skills"
"155",1222,"Active Listening","basic_skills"
"156",1222,"Critical Thinking","basic_skills"
"157",1222,"Social Perceptivenesss","basic_skills"
"158",1222,"Speaking","basic_skills"
"159",1222,"Decision Making","basic_skills"
"160",1222,"Digital Advertising","specific_skills"
"161",1222,"Business Management","specific_skills"
"162",1222,"Budget Management","specific_skills"
"163",1222,"Sales Management","specific_skills"
"164",1222,"Online Advertising","specific_skills"
"165",1222,"Internet Literacy","specific_skills"
"166",1222,"Portfolio Management","specific_skills"
"167",1223,"Active Learning","basic_skills"
"168",1223,"Active Listening","basic_skills"
"169",1223,"Critical Thinking","basic_skills"
"170",1223,"Reading Comprehension","basic_skills"
"171",1223,"Social Perceptivenesss","basic_skills"
"172",1223,"Analysis","specific_skills"
"173",1223,"Product Management","specific_skills"
"174",1223,"Analytical Testing","specific_skills"
"175",1223,"Failure Analysis","specific_skills"
"176",1223,"Quality Management","specific_skills"
"177",1223,"Business Analysis","specific_skills"
"178",1223,"Risk Assessment","specific_skills"
"179",1223,"Halal Compliance","specific_skills"
"180",1223,"Halal Integrity System","specific_skills"
"181",1311,"Critical Thinking","basic_skills"
"182",1311,"Speaking","basic_skills"
"183",1311,"Monitoring","basic_skills"
"184",1311,"Decision Making","basic_skills"
"185",1311,"Time Management","basic_skills"
"186",1311,"Administration Management","specific_skills"
"187",1311,"Budgeting","specific_skills"
"188",1311,"Inventory Management","specific_skills"
"189",1311,"Horticulturist","specific_skills"
"190",1311,"Farming Skills","specific_skills"
"191",1311,"Halal Compliance","specific_skills"
"192",1311,"Halal Integrity System","specific_skills"
"193",1312,"Critical Thinking","basic_skills"
"194",1312,"Speaking","basic_skills"
"195",1312,"Monitoring","basic_skills"
"196",1312,"Decision Making","basic_skills"
"197",1312,"Time Management","basic_skills"
"198",1312,"Administration Management","specific_skills"
"199",1312,"Budgeting","specific_skills"
"200",1312,"Farming Skills","specific_skills"
"201",1321,"Critical Thinking","basic_skills"
"202",1321,"Speaking","basic_skills"
"203",1321,"Monitoring","basic_skills"
"204",1321,"Decision Making","basic_skills"
"205",1321,"Time Management","basic_skills"
"206",1321,"Crisis Management","specific_skills"
"207",1321,"Hazardous Waste Management","specific_skills"
"208",1321,"Budgeting","specific_skills"
"209",1321,"Production And Processing","specific_skills"
"210",1321,"Quality Management","specific_skills"
"211",1321,"Workplace Safety And Health","specific_skills"
"212",1321,"Coordination","basic_skills"
"213",1321,"Halal Compliance","specific_skills"
"214",1321,"Halal Integrity System","specific_skills"
"215",1321,"Begp Production Activities","specific_skills"
"216",1322,"Complex Problem Solving","basic_skills"
"217",1322,"Critical Thinking","basic_skills"
"218",1322,"Decision Making","basic_skills"
"219",1322,"Reading Comprehension","basic_skills"
"220",1322,"Speaking","basic_skills"
"221",1322,"Monitoring","basic_skills"
"222",1322,"Teaching","basic_skills"
"223",1322,"Facility Management","specific_skills"
"224",1322,"Risk Assessment","specific_skills"
"225",1322,"Workplace Safety And Health","specific_skills"
"226",1323,"Coordination","basic_skills"
"227",1323,"Management Of Personnel Resources","basic_skills"
"228",1323,"Active Listening","basic_skills"
"229",1323,"Monitoring","basic_skills"
"230",1323,"Speaking","basic_skills"
"231",1323,"Complex Problem Solving","basic_skills"
"232",1323,"Decision Making","basic_skills"
"233",1323,"Food Hygiene And Safety Standard","specific_skills"
"234",1323,"Costing Skills","specific_skills"
"235",1323,"Property Management","specific_skills"
"236",1323,"Construction Management","specific_skills"
"237",1323,"Facility Management","specific_skills"
"238",1323,"Workplace Safety And Health","specific_skills"
"239",1323,"Architectural Drafting","specific_skills"
"240",1323,"Green Skills","specific_skills"
"241",1323,"Equipment Installation","specific_skills"
"242",1324,"Active Listening","basic_skills"
"243",1324,"Coordination","basic_skills"
"244",1324,"Decision Making","basic_skills"
"245",1324,"Monitoring","basic_skills"
"246",1324,"Reading Comprehension","basic_skills"
"247",1324,"Warehousing","specific_skills"
"248",1324,"Warehouse Management","specific_skills"
"249",1324,"Inventory Management","specific_skills"
"250",1324,"Supply Chain Management","specific_skills"
"251",1324,"Operation Analysis","specific_skills"
"252",1324,"Halal Integrity System","specific_skills"
"253",1324,"Halal Compliance","specific_skills"
"254",1411,"Active Listening","basic_skills"
"255",1411,"Service Orientation","basic_skills"
"256",1411,"Management Of Personnel Resources","basic_skills"
"257",1411,"Social Perceptivenesss","basic_skills"
"258",1411,"Speaking","basic_skills"
"259",1411,"Administration Management","specific_skills"
"260",1411,"Food Hygiene And Safety Standard","specific_skills"
"261",1411,"Landscaping","specific_skills"
"262",1411,"Leasing","specific_skills"
"263",1412,"Service Orientation","basic_skills"
"264",1412,"Active Listening","basic_skills"
"265",1412,"Management Of Personnel Resources","basic_skills"
"266",1412,"Monitoring","basic_skills"
"267",1412,"Speaking","basic_skills"
"268",1412,"Restaurant Management","specific_skills"
"269",1412,"Food Preparation","specific_skills"
"270",1412,"Costing Skills","specific_skills"
"271",1412,"Inventory Management","specific_skills"
"272",1421,"Negotiation","basic_skills"
"273",1421,"Active Listening","basic_skills"
"274",1421,"Critical Thinking","basic_skills"
"275",1421,"Persuasion","basic_skills"
"276",1421,"Speaking","basic_skills"
"277",1421,"Costing Skills","specific_skills"
"278",1421,"Portfolio Management","specific_skills"
"279",1421,"Forecasting","specific_skills"
"280",1421,"Sales Management","specific_skills"
"281",1421,"Business Writing","basic_skills"
"282",1421,"Calculation","basic_skills"
"283",1421,"Communication","basic_skills"
"284",1421,"Complex Problem Solving","basic_skills"
"285",1421,"Public Relations","basic_skills"
"286",1421,"Management","basic_skills"
"287",1421,"Trend Analysis","specific_skills"
"288",1421,"Marketing Analytics","specific_skills"
"289",1511,"Basic Ict","basic_skills"
"290",1511,"Critical Thinking","basic_skills"
"291",1511,"Reading Comprehension","basic_skills"
"292",1511,"Decision Making","basic_skills"
"293",1511,"Monitoring","basic_skills"
"294",1511,"Database Administration","specific_skills"
"295",1511,"Ict Literacy","specific_skills"
"296",1511,"Machine Learning","specific_skills"
"297",1511,"Data Design And Migration","specific_skills"
"298",1511,"Cybersecurity Assessment","specific_skills"
"299",1511,"Network Security","specific_skills"
"300",1511,"Penetration Testing","specific_skills"
"301",1511,"Data Management Protection","specific_skills"
"302",1511,"Coding","specific_skills"
"303",1511,"Computer Forensics","specific_skills"
"304",1511,"Food Hygiene And Safety Standard","specific_skills"
"305",1511,"Risk Assessment","specific_skills"
"306",1511,"Internet Literacy","specific_skills"
"307",1511,"Data Analysis","specific_skills"
"308",1511,"Data Governance","specific_skills"
"309",1511,"Network Administration","specific_skills"
"310",1511,"Animation","specific_skills"
"311",1511,"Sprite Animation","specific_skills"
"312",1511,"3d Animation","specific_skills"
"313",1511,"Computer Animation","specific_skills"
"314",1511,"Database Management System Software","specific_skills"
"315",1511,"Demandware Script","specific_skills"
"316",1511,"Javascript","specific_skills"
"317",1511,"Jquery","specific_skills"
"318",1511,"Mysql","specific_skills"
"319",1611,"Active Listening","basic_skills"
"320",1611,"Coordination","basic_skills"
"321",1611,"Critical Thinking","basic_skills"
"322",1611,"Monitoring","basic_skills"
"323",1611,"Reading Comprehension","basic_skills"
"324",1611,"Social Perceptivenesss","basic_skills"
"325",1611,"Management Of Personnel Resources","basic_skills"
"326",1611,"Child Care","specific_skills"
"327",1611,"Financial Management","specific_skills"
"328",1612,"Speaking","basic_skills"
"329",1612,"Critical Thinking","basic_skills"
"330",1612,"Active Listening","basic_skills"
"331",1612,"Coordination","basic_skills"
"332",1612,"Decision Making","basic_skills"
"333",1612,"Infection Control","specific_skills"
"334",1612,"Patient Care","specific_skills"
"335",1612,"Budgeting","specific_skills"
"336",1612,"Clinical Research","specific_skills"
"337",1612,"Clinical Management","specific_skills"
"338",1612,"Crisis Management","specific_skills"
"339",1612,"Supportive Care","specific_skills"
"340",1613,"Active Listening","basic_skills"
"341",1613,"Community Service","basic_skills"
"342",1613,"Critical Thinking","basic_skills"
"343",1613,"Monitoring","basic_skills"
"344",1613,"Community Management","basic_skills"
"345",1613,"Social Perceptivenesss","basic_skills"
"346",1613,"Management Of Personnel Resources","basic_skills"
"347",1613,"Elder Care","specific_skills"
"348",1613,"Financial Management","specific_skills"
"349",1613,"Crisis Management","specific_skills"
"350",1614,"Service Orientation","basic_skills"
"351",1614,"Social Perceptivenesss","basic_skills"
"352",1614,"Active Learning","basic_skills"
"353",1614,"Active Listening","basic_skills"
"354",1614,"Complex Problem Solving","basic_skills"
"355",1614,"Community Management","basic_skills"
"356",1614,"Community Service","basic_skills"
"357",1614,"Crisis Management","specific_skills"
"358",1614,"Financial Management","specific_skills"
"359",1614,"Home Care","specific_skills"
"360",1615,"Active Listening","basic_skills"
"361",1615,"Speaking","basic_skills"
"362",1615,"Critical Thinking","basic_skills"
"363",1615,"Learning Strategies","basic_skills"
"364",1615,"Reading Comprehension","basic_skills"
"365",1615,"Program Management","specific_skills"
"366",1615,"Psychology","specific_skills"
"367",1615,"Knowledge Management","specific_skills"
"368",1615,"Crisis Intervention","specific_skills"
"369",1616,"Active Listening","basic_skills"
"370",1616,"Critical Thinking","basic_skills"
"371",1616,"Monitoring","basic_skills"
"372",1616,"Reading Comprehension","basic_skills"
"373",1616,"Speaking","basic_skills"
"374",1616,"Event Management","specific_skills"
"375",1616,"Sales Management","specific_skills"
"376",1616,"Financial Management","specific_skills"
"377",1617,"Critical Thinking","basic_skills"
"378",1617,"Reading Comprehension","basic_skills"
"379",1617,"Active Listening","basic_skills"
"380",1617,"Speaking","basic_skills"
"381",1617,"Writing","basic_skills"
"382",1617,"Legal Analysis","specific_skills"
"383",1617,"Food Hygiene And Safety Standard","specific_skills"
"384",1617,"Compliance Management","specific_skills"
"385",1617,"Contract Drafting","specific_skills"
"386",1618,"Speaking","basic_skills"
"387",1618,"Reading Comprehension","basic_skills"
"388",1618,"Active Listening","basic_skills"
"389",1618,"Coordination","basic_skills"
"390",1618,"Writing","basic_skills"
"391",1618,"Property Management","specific_skills"
"392",1618,"Leasing","specific_skills"
"393",1618,"Food Hygiene And Safety Standard","specific_skills"
"394",1618,"Construction Management","specific_skills"
"395",1621,"Active Listening","basic_skills"
"396",1621,"Coordination","basic_skills"
"397",1621,"Service Orientation","basic_skills"
"398",1621,"Social Perceptivenesss","basic_skills"
