,code,occupation,tasks,score
1,1111,Legislators,"presiding over or participating in the proceedings of legislative bodies and administrative councils of national, state, regional or local governments or legislative assemblies",0.2
2,1111,Legislators,"determining, formulating and directing policies of national, state, regional or local governments",0.2
3,1111,Legislators,"making, ratifying, amending or repealing laws, public rules and regulations within a statutory or constitutional framework",0.1
4,1111,Legislators,serving on government administrative boards or official committees,0.2
5,1111,Legislators,investigating matters of concern to the public and promoting the interests of the constituencies which they represent,0.2
6,1111,Legislators,"attending community functions and meetings to provide service to the community, understand public opinion and provide information on government plans",0.2
7,1111,Legislators,"negotiating with other legislators and representatives of interest groups in order to reconcile differing interests, and to create policies and agreements",0.2
8,1111,Legislators,"as members of the government, directing senior administrators and officials of government departments and agencies in the interpretation and implementation of government policies",0.2
9,1111,Legislators,"managing, planning, scheduling and monitoring the tasks of other workers.",0.4
10,1112,Senior Government Officials,"Advising federal, state, regional or local governments on policy matters",0.25
11,1112,Senior Government Officials,"Advising on the preparation of government budgets, laws and regulations, including amendments",0.25
12,1112,Senior Government Officials,Formulating or approving and evaluating programmes and procedures for implementation by the government,0.25
13,1112,Senior Government Officials,"Recommending, reviewing, evaluating and approving documents and reports submitted by middle managers and senior staff members",0.45
14,1112,Senior Government Officials,Ensuring appropriate systems and procedures are developed and implemented to provide budgetary control,0.35
15,1112,Senior Government Officials,Making presentations to legislative and other government committees on policy planning or budget allocations,0.3
16,1112,Senior Government Officials,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.3
17,1113,Traditional Chiefs And Heads Of Village,"Performing duties as a liaison officer to disseminate information about the state administration, government policies, and organise community development in the mukim",0.35
18,1113,Traditional Chiefs And Heads Of Village,"Focusing on aspects of development, administration, religion and culture in the mukim",0.2
19,1113,Traditional Chiefs And Heads Of Village,Settling disputes between members of the community or village,0.2
20,1113,Traditional Chiefs And Heads Of Village,Disciplining members of the community or village for violation of rules and customs,0.1
21,1113,Traditional Chiefs And Heads Of Village,"Performing ceremonial duties in connection with births, marriages, deaths, harvests and other traditional festivities",0.1
22,1113,Traditional Chiefs And Heads Of Village,Representing the community or village in local or regional councils,0.2
23,1113,Traditional Chiefs And Heads Of Village,Informing the community or village about government directives and regulations,0.4
24,1114,Senior Officials Of Special-Interest Organisations,"Determining and formulating the policies, rules and regulations of the political party or organisation",0.2
25,1114,Senior Officials Of Special-Interest Organisations,"Planning, directing and coordinating the general functioning of the organisation",0.25
26,1114,Senior Officials Of Special-Interest Organisations,"Reviewing the operations and results of the organisation meetings and reporting to the board of directors and governing bodies, the organisation’s membership and funding agencies",0.45
27,1114,Senior Officials Of Special-Interest Organisations,"Planning, organising and directing divisions charged with implementing the organisation's policies",0.25
28,1114,Senior Officials Of Special-Interest Organisations,Ensuring appropriate systems and procedures are developed and implemented to provide budgetary control,0.35
