code,skills,skill_type
1111,Complex Problem Solving,basic_skills
1111,Critical Thinking,basic_skills
1111,Decision Making,basic_skills
1111,Management Of Financial Resources,basic_skills
1111,Monitoring,basic_skills
1111,Analysis,specific_skills
1111,Contract Drafting,specific_skills
1111,Legal Analysis,specific_skills
1111,Administration Management,specific_skills
1111,Data Governance,specific_skills
1111,Legal Writing,specific_skills
1111,Crisis Management,specific_skills
1112,Complex Problem Solving,basic_skills
1112,Critical Thinking,basic_skills
1112,Decision Making,basic_skills
1112,Management Of Financial Resources,basic_skills
1112,Monitoring,basic_skills
1112,Analysis,specific_skills
1112,Contract Drafting,specific_skills
1112,Legal Analysis,specific_skills
1112,Administration Management,specific_skills
1112,Data Governance,specific_skills
1112,Legal Writing,specific_skills
1112,Crisis Management,specific_skills
1112,Negotiation,basic_skills
1112,Active Listening,basic_skills
1112,Reading Comprehension,basic_skills
1112,Mathematics,basic_skills
1112,Problem Solving,basic_skills
1112,Account Management,specific_skills
1112,Leadership,basic_skills
1112,Communication,basic_skills
1112,Management Of Personnel Resources,basic_skills
1112,Community Service,basic_skills
1113,Complex Problem Solving,basic_skills
1113,Critical Thinking,basic_skills
1113,Decision Making,basic_skills
1113,Administration Management,specific_skills
1113,Crisis Management,specific_skills
1113,Problem Analysis,basic_skills
1113,Active Listening,basic_skills
1114,Complex Problem Solving,basic_skills
1114,Critical Thinking,basic_skills
1114,Decision Making,basic_skills
1114,Management Of Financial Resources,basic_skills
1114,Monitoring,basic_skills
1114,Communication,basic_skills
1114,Customer Services,basic_skills
1114,Public Relations,basic_skills
1114,Analysis,specific_skills
1114,Contract Drafting,specific_skills
1114,Legal Analysis,specific_skills
1114,Administration Management,specific_skills
1114,Data Governance,specific_skills
1114,Legal Writing,specific_skills
1114,Crisis Management,specific_skills
1121,Decision Making,basic_skills
1121,Complex Problem Solving,basic_skills
1121,Critical Thinking,basic_skills
1121,Speaking,basic_skills
1121,Coordination,basic_skills
1121,Administration Management,specific_skills
1121,Analytical,specific_skills
1121,Business Analysis,specific_skills
1121,Cash Management,specific_skills
1121,Risk Management,specific_skills
1121,Hiring,specific_skills
1121,Active Listening,basic_skills
1211,Active Listening,basic_skills
1211,Critical Thinking,basic_skills
1211,Monitoring,basic_skills
1211,Reading Comprehension,basic_skills
1211,Speaking,basic_skills
1211,Calculation,basic_skills
1211,Financial Reporting,specific_skills
1211,Forecasting,specific_skills
1211,Account Management,specific_skills
1211,Factor Analysis,specific_skills
1211,Financial Auditing,specific_skills
1211,Revenue Analysis,specific_skills
1211,Risk Assessment,specific_skills
1212,Active Listening,basic_skills
1212,Management Of Personnel Resources,basic_skills
1212,Speaking,basic_skills
1212,Decision Making,basic_skills
1212,Reading Comprehension,basic_skills
1212,Payroll Administration,specific_skills
1212,Organizational Analysis,specific_skills
1212,Personnel Management,specific_skills
1212,Performance Analysis,specific_skills
1212,Hiring,specific_skills
1213,Reading Comprehension,basic_skills
1213,Speaking,basic_skills
1213,Writing,basic_skills
1213,Active Listening,basic_skills
1213,Coordination,basic_skills
1213,Business Analysis,specific_skills
1213,Market Analysis,specific_skills
1213,Conflict Management,specific_skills
1213,Calculation,basic_skills
1213,Business Continuity Management,specific_skills
1213,Strategic Management,specific_skills
1214,Critical Thinking,basic_skills
1214,Reading Comprehension,basic_skills
1214,Active Listening,basic_skills
1214,Speaking,basic_skills
1214,Coordination,basic_skills
1214,Monitoring,basic_skills
1214,Decision Making,basic_skills
1214,Administration Management,specific_skills
1214,Strategic Analysis,specific_skills
1214,Production And Processing,specific_skills
1214,Iso Standards Knowledge,specific_skills
1214,Social Perceptivenesss,basic_skills
1214,Food Hygiene And Safety Standard,specific_skills
1214,Halal Compliance,specific_skills
1214,Halal Integrity System,specific_skills
1214,Working With Computers,specific_skills
1214,Internet Literacy,specific_skills
1215,Active Listening,basic_skills
1215,Reading Comprehension,basic_skills
1215,Time Management,basic_skills
1215,Speaking,basic_skills
1215,Coordination,basic_skills
1215,Performance Management,specific_skills
1215,Budget Management,specific_skills
1215,Business Analysis,specific_skills
1215,Document Management,specific_skills
1215,Iso Standards Knowledge,specific_skills
1215,Quality Management,specific_skills
1215,Management Of Personnel Resources,basic_skills
1216,Reading Comprehension,basic_skills
1216,Decision Making,basic_skills
1216,Active Listening,basic_skills
1216,Monitoring,basic_skills
1216,Quality Management,specific_skills
1216,Analysis,specific_skills
1216,Business Management,specific_skills
1216,Administration Management,specific_skills
1216,Quality Control Analysis,specific_skills
1221,Active Learning,basic_skills
1221,Active Listening,basic_skills
1221,Critical Thinking,basic_skills
1221,Reading Comprehension,basic_skills
1221,Social Perceptivenesss,basic_skills
1221,Analysis,specific_skills
1221,Sales Management,specific_skills
1221,Forecasting,specific_skills
1221,Trend Analysis,specific_skills
1221,Strategic Analysis,specific_skills
1221,Campaign Performance Analysis,specific_skills
1221,Persuasion,basic_skills
1221,Speaking,basic_skills
1221,Coordination,basic_skills
1222,Active Listening,basic_skills
1222,Critical Thinking,basic_skills
1222,Social Perceptivenesss,basic_skills
1222,Speaking,basic_skills
1222,Decision Making,basic_skills
1222,Digital Advertising,specific_skills
1222,Business Management,specific_skills
1222,Budget Management,specific_skills
1222,Sales Management,specific_skills
1222,Online Advertising,specific_skills
1222,Internet Literacy,specific_skills
1222,Portfolio Management,specific_skills
1223,Active Learning,basic_skills
1223,Active Listening,basic_skills
1223,Critical Thinking,basic_skills
1223,Reading Comprehension,basic_skills
1223,Social Perceptivenesss,basic_skills
1223,Analysis,specific_skills
1223,Product Management,specific_skills
1223,Analytical Testing,specific_skills
1223,Failure Analysis,specific_skills
1223,Quality Management,specific_skills
1223,Business Analysis,specific_skills
1223,Risk Assessment,specific_skills
1223,Halal Compliance,specific_skills
1223,Halal Integrity System,specific_skills
1311,Critical Thinking,basic_skills
1311,Speaking,basic_skills
1311,Monitoring,basic_skills
1311,Decision Making,basic_skills
1311,Time Management,basic_skills
1311,Administration Management,specific_skills
1311,Budgeting,specific_skills
1311,Inventory Management,specific_skills
1311,Horticulturist,specific_skills
1311,Farming Skills,specific_skills
1311,Halal Compliance,specific_skills
1311,Halal Integrity System,specific_skills
1312,Critical Thinking,basic_skills
1312,Speaking,basic_skills
1312,Monitoring,basic_skills
1312,Decision Making,basic_skills
1312,Time Management,basic_skills
1312,Administration Management,specific_skills
1312,Budgeting,specific_skills
1312,Farming Skills,specific_skills
1321,Critical Thinking,basic_skills
1321,Speaking,basic_skills
1321,Monitoring,basic_skills
1321,Decision Making,basic_skills
1321,Time Management,basic_skills
1321,Crisis Management,specific_skills
1321,Hazardous Waste Management,specific_skills
1321,Budgeting,specific_skills
1321,Production And Processing,specific_skills
1321,Quality Management,specific_skills
1321,Workplace Safety And Health,specific_skills
1321,Coordination,basic_skills
1321,Halal Compliance,specific_skills
1321,Halal Integrity System,specific_skills
1321,Begp Production Activities,specific_skills
1322,Complex Problem Solving,basic_skills
1322,Critical Thinking,basic_skills
1322,Decision Making,basic_skills
1322,Reading Comprehension,basic_skills
1322,Speaking,basic_skills
1322,Monitoring,basic_skills
1322,Teaching,basic_skills
1322,Facility Management,specific_skills
1322,Risk Assessment,specific_skills
1322,Workplace Safety And Health,specific_skills
1323,Coordination,basic_skills
1323,Management Of Personnel Resources,basic_skills
1323,Active Listening,basic_skills
1323,Monitoring,basic_skills
1323,Speaking,basic_skills
1323,Complex Problem Solving,basic_skills
1323,Decision Making,basic_skills
1323,Food Hygiene And Safety Standard,specific_skills
1323,Costing Skills,specific_skills
1323,Property Management,specific_skills
1323,Construction Management,specific_skills
1323,Facility Management,specific_skills
1323,Workplace Safety And Health,specific_skills
1323,Architectural Drafting,specific_skills
1323,Green Skills,specific_skills
1323,Equipment Installation,specific_skills
1324,Active Listening,basic_skills
1324,Coordination,basic_skills
1324,Decision Making,basic_skills
1324,Monitoring,basic_skills
1324,Reading Comprehension,basic_skills
1324,Warehousing,specific_skills
1324,Warehouse Management,specific_skills
1324,Inventory Management,specific_skills
1324,Supply Chain Management,specific_skills
1324,Operation Analysis,specific_skills
1324,Halal Integrity System,specific_skills
1324,Halal Compliance,specific_skills
1411,Active Listening,basic_skills
1411,Service Orientation,basic_skills
1411,Management Of Personnel Resources,basic_skills
1411,Social Perceptivenesss,basic_skills
1411,Speaking,basic_skills
1411,Administration Management,specific_skills
1411,Food Hygiene And Safety Standard,specific_skills
1411,Landscaping,specific_skills
1411,Leasing,specific_skills
1412,Service Orientation,basic_skills
1412,Active Listening,basic_skills
1412,Management Of Personnel Resources,basic_skills
1412,Monitoring,basic_skills
1412,Speaking,basic_skills
1412,Restaurant Management,specific_skills
1412,Food Preparation,specific_skills
1412,Costing Skills,specific_skills
1412,Inventory Management,specific_skills
1421,Negotiation,basic_skills
1421,Active Listening,basic_skills
1421,Critical Thinking,basic_skills
1421,Persuasion,basic_skills
1421,Speaking,basic_skills
1421,Costing Skills,specific_skills
1421,Portfolio Management,specific_skills
1421,Forecasting,specific_skills
1421,Sales Management,specific_skills
1421,Business Writing,basic_skills
1421,Calculation,basic_skills
1421,Communication,basic_skills
1421,Complex Problem Solving,basic_skills
1421,Public Relations,basic_skills
1421,Management,basic_skills
1421,Trend Analysis,specific_skills
1421,Marketing Analytics,specific_skills
1511,Basic Ict,basic_skills
1511,Critical Thinking,basic_skills
1511,Reading Comprehension,basic_skills
1511,Decision Making,basic_skills
1511,Monitoring,basic_skills
1511,Database Administration,specific_skills
1511,Ict Literacy,specific_skills
1511,Machine Learning,specific_skills
1511,Data Design And Migration,specific_skills
1511,Cybersecurity Assessment,specific_skills
1511,Network Security,specific_skills
1511,Penetration Testing,specific_skills
1511,Data Management Protection,specific_skills
1511,Coding,specific_skills
1511,Computer Forensics,specific_skills
1511,Food Hygiene And Safety Standard,specific_skills
1511,Risk Assessment,specific_skills
1511,Internet Literacy,specific_skills
1511,Data Analysis,specific_skills
1511,Data Governance,specific_skills
1511,Network Administration,specific_skills
1511,Animation,specific_skills
1511,Sprite Animation,specific_skills
1511,3d Animation,specific_skills
1511,Computer Animation,specific_skills
1511,Database Management System Software,specific_skills
1511,Demandware Script,specific_skills
1511,Javascript,specific_skills
1511,Jquery,specific_skills
1511,Mysql,specific_skills
1611,Active Listening,basic_skills
1611,Coordination,basic_skills
1611,Critical Thinking,basic_skills
1611,Monitoring,basic_skills
1611,Reading Comprehension,basic_skills
1611,Social Perceptivenesss,basic_skills
1611,Management Of Personnel Resources,basic_skills
1611,Child Care,specific_skills
1611,Financial Management,specific_skills
1612,Speaking,basic_skills
1612,Critical Thinking,basic_skills
1612,Active Listening,basic_skills
1612,Coordination,basic_skills
1612,Decision Making,basic_skills
1612,Infection Control,specific_skills
1612,Patient Care,specific_skills
1612,Budgeting,specific_skills
1612,Clinical Research,specific_skills
1612,Clinical Management,specific_skills
1612,Crisis Management,specific_skills
1612,Supportive Care,specific_skills
1613,Active Listening,basic_skills
1613,Community Service,basic_skills
1613,Critical Thinking,basic_skills
1613,Monitoring,basic_skills
1613,Community Management,basic_skills
1613,Social Perceptivenesss,basic_skills
1613,Management Of Personnel Resources,basic_skills
1613,Elder Care,specific_skills
1613,Financial Management,specific_skills
1613,Crisis Management,specific_skills
1614,Service Orientation,basic_skills
1614,Social Perceptivenesss,basic_skills
1614,Active Learning,basic_skills
1614,Active Listening,basic_skills
1614,Complex Problem Solving,basic_skills
1614,Community Management,basic_skills
1614,Community Service,basic_skills
1614,Crisis Management,specific_skills
1614,Financial Management,specific_skills
1614,Home Care,specific_skills
1615,Active Listening,basic_skills
1615,Speaking,basic_skills
1615,Critical Thinking,basic_skills
1615,Learning Strategies,basic_skills
1615,Reading Comprehension,basic_skills
1615,Program Management,specific_skills
1615,Psychology,specific_skills
1615,Knowledge Management,specific_skills
1615,Crisis Intervention,specific_skills
1616,Active Listening,basic_skills
1616,Critical Thinking,basic_skills
1616,Monitoring,basic_skills
1616,Reading Comprehension,basic_skills
1616,Speaking,basic_skills
1616,Event Management,specific_skills
1616,Sales Management,specific_skills
1616,Financial Management,specific_skills
1617,Critical Thinking,basic_skills
1617,Reading Comprehension,basic_skills
1617,Active Listening,basic_skills
1617,Speaking,basic_skills
1617,Writing,basic_skills
1617,Legal Analysis,specific_skills
1617,Food Hygiene And Safety Standard,specific_skills
1617,Compliance Management,specific_skills
1617,Contract Drafting,specific_skills
1618,Speaking,basic_skills
1618,Reading Comprehension,basic_skills
1618,Active Listening,basic_skills
1618,Coordination,basic_skills
1618,Writing,basic_skills
1618,Property Management,specific_skills
1618,Leasing,specific_skills
1618,Food Hygiene And Safety Standard,specific_skills
1618,Construction Management,specific_skills
1621,Active Listening,basic_skills
1621,Coordination,basic_skills
1621,Service Orientation,basic_skills
1621,Social Perceptivenesss,basic_skills
1621,Speaking,basic_skills
1621,Budget Management,specific_skills
1621,Staff Management,specific_skills
1621,Campaign Performance Analysis,specific_skills
1621,Forecasting,specific_skills
1621,Property Management,specific_skills
1622,Management Of Personnel Resources,basic_skills
1622,Coordination,basic_skills
1622,Monitoring,basic_skills
1622,Speaking,basic_skills
1622,Time Management,basic_skills
1622,Budget Management,specific_skills
1622,Staff Management,specific_skills
1622,Campaign Performance Analysis,specific_skills
1622,Forecasting,specific_skills
1622,Property Management,specific_skills
1622,Environmental Impact Assessment,specific_skills
1623,Active Listening,basic_skills
1623,Monitoring,basic_skills
1623,Speaking,basic_skills
1623,Coordination,basic_skills
1623,Critical Thinking,basic_skills
1623,Risk Assessment,specific_skills
1623,Security Assessment,specific_skills
1623,Supervisory Skills,specific_skills
1624,Active Listening,basic_skills
1624,Reading Comprehension,basic_skills
1624,Speaking,basic_skills
1624,Critical Thinking,basic_skills
1624,Writing,basic_skills
1624,Knowledge Management,specific_skills
2111,Mathematics,basic_skills
2111,Reading Comprehension,basic_skills
2111,Critical Thinking,basic_skills
2111,Speaking,basic_skills
2111,Problem Analysis,basic_skills
2111,Analysis,specific_skills
2111,Statistical Analysis,specific_skills
2111,Root Cause Analysis,specific_skills
2111,Instrumental Analysis,specific_skills
2111,Testing Skills,specific_skills
2111,Scientific,specific_skills
2111,Research And Development,specific_skills
2111,Problem Solving,basic_skills
2111,Time Management,basic_skills
2111,Research,basic_skills
2112,Reading Comprehension,basic_skills
2112,Active Listening,basic_skills
2112,Critical Thinking,basic_skills
2112,Speaking,basic_skills
2112,Complex Problem Solving,basic_skills
2112,Analysis,specific_skills
2112,Statistical Analysis,specific_skills
2112,Root Cause Analysis,specific_skills
2112,Instrumental Analysis,specific_skills
2112,Testing Skills,specific_skills
2112,Scientific,specific_skills
2112,Research And Development,specific_skills
2112,Equipment Maintenance,specific_skills
2113,Critical Thinking,basic_skills
2113,Reading Comprehension,basic_skills
2113,Active Listening,basic_skills
2113,Mathematics,basic_skills
2113,Problem Analysis,basic_skills
2113,Statistical Analysis,specific_skills
2113,Root Cause Analysis,specific_skills
2113,Instrumental Analysis,specific_skills
2113,Testing Skills,specific_skills
2113,Scientific,specific_skills
2113,Research And Development,specific_skills
2114,Reading Comprehension,basic_skills
2114,Critical Thinking,basic_skills
2114,Speaking,basic_skills
2114,Active Listening,basic_skills
2114,Analysis,specific_skills
2114,Statistical Analysis,specific_skills
2114,Tableau,specific_skills
2114,Scientific,specific_skills
2114,Research And Development,specific_skills
2114,Complex Problem Solving,basic_skills
2121,Mathematics,basic_skills
2121,Complex Problem Solving,basic_skills
2121,Critical Thinking,basic_skills
2121,Reading Comprehension,basic_skills
2121,Active Learning,basic_skills
2121,Analytics,specific_skills
2121,Data Mining,specific_skills
2121,Data Analysis,specific_skills
2121,Data Entry,specific_skills
2121,Data Visualization,specific_skills
2121,Statistical Analysis,specific_skills
2121,Internet Literacy,specific_skills
2121,Crisis Intervention,specific_skills
2121,Decision Making,basic_skills
2121,Active Listening,basic_skills
2131,Reading Comprehension,basic_skills
2131,Speaking,basic_skills
2131,Active Listening,basic_skills
2131,Critical Thinking,basic_skills
2131,Analysis,specific_skills
2131,Microsoft Office,specific_skills
2131,Data Analysis,specific_skills
