code,occupation,AI_exposure_index,quartile,wage,no_of_workers
1111,Legislators,0.1111111111,Medium low,30453,192
1112,Senior Government Officials,0.2857142857,Medium low,6282,4746
1113,Traditional Chiefs And Heads Of Village,0.2857142857,Medium low,3532,5658
1114,Senior Officials Of Special-Interest Organisations,0.5,Medium high,NA,NA
1121,Managing Directors And Chief Executives,0.09090909091,Medium low,5574,177391
1211,Finance Managers,0.5555555556,Medium high,5440,21684
1212,Human Resource Managers,0.75,Medium high,6094,16194
1213,Policy And Planning Managers,1,High,6734,2560
1214,Business Services Managers,0.8333333333,High,5899,40034
1215,Administrative Managers,0.75,Medium high,5332,29413
1216,Quality Managers,0.6666666667,Medium high,NA,NA
1221,Sales And Marketing Managers,0.8181818182,Medium high,4976,59521
1222,Advertising And Public Relations Managers,0.6666666667,Medium high,5338,3187
1223,Research And Development Managers,0.4285714286,Medium low,5227,1562
1311,"Agricultural, Forestry And Livestock Production Managers",0.75,Medium high,4614,32416
1312,Aquaculture And Fisheries Production Managers,0.5714285714,Medium high,4516,1716
1321,Manufacturing Managers,0.5714285714,Medium high,5227,38952
1322,Mining Managers,0.6,Medium high,4968,1894
1323,Construction Managers,0.7,Medium high,5091,55437
1324,"Supply, Distribution And Related Managers",1,High,4580,10133
1411,Hotel And Homestay Managers,0.7333333333,Medium high,5545,11833
1412,Restaurant Managers,0.6666666667,Medium high,3475,61392
1421,Retail And Wholesale Trade Managers,0.8,Medium high,4761,56590
1511,Information And Communications Technology Managers,0.4545454545,Medium high,7137,15289
1611,Child Care Services Managers,0.5555555556,Medium high,11923,222
1612,Health Services Managers,0.625,Medium high,4930,562
1613,Aged Care Services Managers,0.6,Medium high,NA,3176
1614,Social Welfare Managers,0.7142857143,Medium high,14959,142
1615,Education Managers,0.7272727273,Medium high,8596,9414
1616,Financial And Insurance Services Branch Managers,0.8333333333,High,NA,3780
1617,Legal Managers,0.6428571429,Medium high,6696,862
1618,Property Managers,1,High,NA,1236
1621,Sports And Recreation Centre Managers,0.7272727273,Medium high,1136,2237
1622,"Personal Care, Cleaning And Related Services Managers",0.7142857143,Medium high,7062,4786
1623,Security Managers,0.5454545455,Medium high,4602,4280
1624,"Cultural Centre, Museum And Library Managers",0.7272727273,Medium high,4116,240
